county,sale_cycle_id,source_artifact_id,source_document_date,claim_deadline,deadline_verified_at,as_of_date,lifecycle_status,status_reason
Humboldt,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,Deadline is APPROXIMATE (sale date + 365d) - exact deed recordation date not published per parcel. Real deadline is >= this date.
Shasta,shasta_2026-02-27_and_03-27_sales,sha256:90f407e140bb286021e336804a759d9732106df19b0f1326d1c89920e639f224,2026-04-16,2027-03-22,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"Deadline is EXACT, stated directly in the source document. Dollar amounts not disclosed by county (structural, not a gap)."
Tulare,tulare_2026-03-03_sale,sha256:dba062327dc5d9c2627ddbcb73781aaac1ce1296405989de6decd5034605d02d,unknown - not printed on document,2027-03-03,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,Deadline is APPROXIMATE (sale date + 365d) - exact deed recordation date not published per parcel.
Sonoma,sonoma_2025-11-07_to_11-10_auction,NO ARTIFACT PRESERVED - scraped from county results page; no PDF/HTML snapshot was saved to disk,"unknown - results page, no publication date printed",2026-11-10,2026-08-08,2026-08-08,UNKNOWN,"DEMOTED from ACTIVE_CANDIDATE at release gate 2026-08-08 (release_gate.py check 2 failure): sourced from the county's own auction RESULTS table (novel pattern, not a dedicated excess-proceeds notice), but the scraped page itself was never saved as a hashable artifact - only the extracted rows exist, so SOURCE_VERIFIED cannot be established per the state machine. Amounts are ESTIMATES (sold price minus minimum bid), not county-confirmed. All 18 linked dossiers demoted to UNKNOWN, excluded from active/marketed inventory pending re-scrape-and-hash of the source page. Not discarded - see county-excess-proceeds-lead-registry.csv, still holds real extracted data, just not release-gate-clean yet."
San Joaquin,san_joaquin_2026-03-11_to_03-12_sale,sha256:cb1f60fcd380dec53fb0ba7f6adfc2786e8e6089a9a52b32e6d41cd844a8e505,2026-04-08 (document 'Updated' date),2027-03-12,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,Deadline is APPROXIMATE (sale date + 365d) - document does not state an exact claim deadline. Real names AND real amounts both confirmed.
Madera,madera_2026-05-11_to_05-14_sale,sha256:56cea126a49ddc6fd1f59b0d3f241523a0a7f0172012c9e0f16d7f7f14044594,unknown - not printed,2027-06-08,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"Deadline is EXACT, stated directly in the source document (deed recorded 2026-06-08 + 1yr)."
Madera,madera_2025-08-08_reoffer,sha256:7d17a7233f11121455ef2ba0582cfb1b0635ba99499c7d13475ea4096e36c944,unknown - not printed,2026-08-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"Deadline is EXACT, stated directly in the source document. URGENT - 19 days remaining as of as_of_date."
Madera,madera_2025-05_sale,NOT DOWNLOADED - not yet verified,unknown,unknown - NOT VERIFIED,NOT VERIFIED,2026-08-08,UNKNOWN,HONEST GAP: this sale cycle's document ('2025 FINALIZED EXCESS PROCEEDS - MAY 2025') was seen listed on the county page but never downloaded or read. It was ASSUMED likely-expired based on typical 1yr timing and excluded from extraction - that assumption was never actually verified against the real document. Should be checked before being trusted either way.
Colusa,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,"PER-PARCEL (2026-10-02 to 2026-11-17, see individual records)",2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"Unusual structure: each parcel has its OWN deadline, not one cycle-wide date - see output/dashboard/colusa_*.md for per-parcel deadlines. All 8 parcels currently active (earliest 2026-10-02)."
Nevada,nevada_2024-11-07_sale,sha256:032081b8da29e9e97da2bc49c769ba1f8dc658271343516addb6ac241bea7e59,2024-12-19,2025-11-27,2026-08-08,2026-08-08,EXPIRED,"EXPIRED 254+ days ago as of as_of_date. Originally, and incorrectly, reported elsewhere as active due to a sale-cycle mislabeling error (see county-signal-exception-log.csv) - RESOLVED, excluded from all active inventory, 0 records extracted."
Nevada,nevada_2025-11-13_sale_and_2026-01-28_reoffer,sha256:4e8e4bd5745f52af4a453cca97398424f831056f484323fd61e2c20dfe5d6189,2026-03-02,2026-12-19,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"The real source of the 'Dec 2026' figure originally misattributed to the expired 2024 cycle above. Deadline is EXACT, stated directly in the document. 14 records extracted."
