county,sale_cycle_id,source_artifact_id,source_document_date,claim_deadline,deadline_verified_at,as_of_date,lifecycle_status,status_reason
Humboldt,humboldt_2026-05-29_sale,sha256:a4f5e8...(humboldt_excess_proceeds_may2026.pdf),2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,Deadline is APPROXIMATE (sale date + 365d) - exact deed recordation date not published per parcel. Real deadline is >= this date.
Shasta,shasta_2026-02-27_and_03-27_sales,sha256:(shasta_excess_proceeds_notice.pdf),2026-04-16,2027-03-22,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"Deadline is EXACT, stated directly in the source document. Dollar amounts not disclosed by county (structural, not a gap)."
Tulare,tulare_2026-03-03_sale,sha256:(tulare_excess_proceeds.pdf),unknown - not printed on document,2027-03-03,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,Deadline is APPROXIMATE (sale date + 365d) - exact deed recordation date not published per parcel.
Sonoma,sonoma_2025-11-07_to_11-10_auction,"sha256:(sonoma_nov2025_results.txt - scraped table, not a PDF)","unknown - results page, no publication date printed",2026-11-10,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"Sourced from the county's own auction RESULTS table (novel pattern, not a dedicated excess-proceeds notice). Amounts are ESTIMATES (sold price minus minimum bid), not county-confirmed. Deadline is APPROXIMATE."
San Joaquin,san_joaquin_2026-03-11_to_03-12_sale,sha256:(tax-sale-excess-proceeds-list-march-2026-public.pdf),2026-04-08 (document 'Updated' date),2027-03-12,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,Deadline is APPROXIMATE (sale date + 365d) - document does not state an exact claim deadline. Real names AND real amounts both confirmed.
Madera,madera_2026-05-11_to_05-14_sale,sha256:56cea126a49ddc6fd1f59b0d3f241523a0a7f0172012c9e0f16d7f7f14044594,unknown - not printed,2027-06-08,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"Deadline is EXACT, stated directly in the source document (deed recorded 2026-06-08 + 1yr)."
Madera,madera_2025-08-08_reoffer,sha256:7d17a7233f11121455ef2ba0582cfb1b0635ba99499c7d13475ea4096e36c944,unknown - not printed,2026-08-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"Deadline is EXACT, stated directly in the source document. URGENT - 19 days remaining as of as_of_date."
Madera,madera_2025-05_sale,NOT DOWNLOADED - not yet verified,unknown,unknown - NOT VERIFIED,NOT VERIFIED,2026-08-08,UNKNOWN,HONEST GAP: this sale cycle's document ('2025 FINALIZED EXCESS PROCEEDS - MAY 2025') was seen listed on the county page but never downloaded or read. It was ASSUMED likely-expired based on typical 1yr timing and excluded from extraction - that assumption was never actually verified against the real document. Should be checked before being trusted either way.
Colusa,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,"PER-PARCEL (2026-10-02 to 2026-11-17, see individual records)",2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"Unusual structure: each parcel has its OWN deadline, not one cycle-wide date - see output/dashboard/colusa_*.md for per-parcel deadlines. All 8 parcels currently active (earliest 2026-10-02)."
Nevada,nevada_2024-11-07_sale,sha256:032081b8da29e9e97da2bc49c769ba1f8dc658271343516addb6ac241bea7e59,2024-12-19,2025-11-27,2026-08-08,2026-08-08,EXPIRED,"EXPIRED 254+ days ago as of as_of_date. Originally, and incorrectly, reported elsewhere as active due to a sale-cycle mislabeling error (see county-signal-exception-log.csv) - RESOLVED, excluded from all active inventory, 0 records extracted."
Nevada,nevada_2025-11-13_sale_and_2026-01-28_reoffer,sha256:4e8e4bd5745f52af4a453cca97398424f831056f484323fd61e2c20dfe5d6189,2026-03-02,2026-12-19,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,"The real source of the 'Dec 2026' figure originally misattributed to the expired 2024 cycle above. Deadline is EXACT, stated directly in the document. 14 records extracted."
